total_transactions,unique_assets,unique_actions,total_volume,avg_transaction_size,account_age_days,transactions_per_day,repayment_ratio,borrow_count,repay_count,frequency_consistency,avg_days_between_transactions,total_deposits,total_borrows,utilization_ratio,healthy_utilization_score,deposit_count,deposit_to_borrow_ratio,asset_diversity_score,action_diversity_score,hour_pattern_consistency,day_variety_score,weekend_activity_ratio,liquidation_count,liquidation_volume,was_liquidated,recent_activity_ratio,risk_score,amount_variability,round_number_ratio,transaction_regularity,bot_like_score,wallet,reliability_score,utilization_score,longevity_score,diversity_score,liquidation_risk_score,bot_behavior_score,volume_consistency_score,credit_score,score_category
1,1,1,2000.0,2000.0,1,1.0,0.0,0,0,0.0,0.0,2000.0,0.0,0.0,1.0,1,1.0,1.0,0.2,,0.14285714285714285,0.0,0,0,0,1.0,0.0,1.0,1.0,0.0,0.0,0x00000000001accfa9cef68cf5371a23025b6d4b6,0.3,1.0,0.08164383561643837,0.6799999999999999,1.0,1.0,0.0,605.2465753424657,Fair (Elevated Risk)
1,1,1,145000000000000.0,145000000000000.0,1,1.0,0.0,0,0,0.0,0.0,145000000000000.0,0.0,0.0,1.0,1,1.0,1.0,0.2,,0.14285714285714285,0.0,0,0,0,1.0,0.0,1.0,1.0,0.0,0.0,0x000000000051d07a4fb3bd10121a343d85818da6,0.3,1.0,0.08164383561643837,0.6799999999999999,1.0,1.0,0.0,605.2465753424657,Fair (Elevated Risk)
2,1,1,5000000000.0,2500000000.0,8,0.25,0.0,0,0,1.0,7.574131944444445,5000000000.0,0.0,0.0,1.0,2,2.0,0.5,0.2,0.1750420886156946,0.14285714285714285,1.0,0,0,0,1.0,0.0,0.848528137423857,1.0,0.0,0.0,0x000000000096026fb41fc39f9875d164bd82e2dc,0.5242586805555556,1.0,0.03315068493150685,0.38,1.0,1.0,0.0,624.037272878615,Fair (Elevated Risk)
17,4,1,4835297129866.918,284429242933.34814,130,0.13076923076923078,0.0,0,0,0.4134477859961294,8.082985387731481,0.0,0.0,0.0,1.0,0,0.0,0.23529411764705882,0.2,0.5758635262489054,0.5714285714285714,0.0,0,0,0,0.11764705882352941,0.0,1.0,0.0,0.0,0.0,0x0000000000e189dd664b9ab08a33c4839953852c,0.343204481921524,1.0,0.22416016859852475,0.2211764705882353,1.0,1.0,0.0,591.5427928289831,Poor (High Risk)
399,6,4,1.735192169438288e+17,434885255498317.8,133,3.0,1.7745710301539731e-12,15,4,0.06823527575500388,0.33383392657407407,9.459365814707709e+16,3.946000000007e+16,0.4171527010692027,1.0,250,16.666666666666668,0.015037593984962405,0.8,0.47141815286835753,1.0,0.3333333333333333,0,0,0,0.11027568922305764,0.0,1.0,0.6591478696741855,0.0,0.0,0x0000000002032370b971dabd36d72f3e5a7bf1ee,0.31713224346147023,1.0,0.4586301369863014,0.3290225563909775,1.0,1.0,0.0,630.9798370524105,Fair (Elevated Risk)
25,5,4,1.0611918153072992e+16,424476726122919.7,40,0.625,1.0007449570012925,8,5,0.6296719600909795,1.636673900462963,1.06096172676103e+16,11605.0,1.0938189104548065e-12,1.0,7,0.875,0.2,0.8,0.6120149391955827,1.0,0.16,0,0,0,0.56,0.0,1.0,0.64,0.0,0.0,0x000000000a38444e0a6e37d3b630d7e855a7cb13,0.8725348490226642,1.0,0.11575342465753424,0.44000000000000006,1.0,1.0,0.0,729.4967259542963,Good (Moderate Risk)
8,7,1,45426992712.60784,5678374089.07598,8,1.0,0.0,0,0,0.42264973081037427,1.1270287698379629,45426992712.60784,0.0,0.0,1.0,8,8.0,0.875,0.2,0.8663693790437879,0.5714285714285714,0.75,0,0,0,1.0,0.0,1.0,0.375,0.0,0.0,0x000000003853fcedcd0355fec98ca3192833f00b,0.4155246315447326,1.0,0.09315068493150687,0.605,1.0,1.0,0.0,628.3537606259092,Fair (Elevated Risk)
492,7,4,5.457531201407132e+17,1109254309229091.9,124,3.967741935483871,0.0039010223897812443,30,16,0.0,0.25153055931712964,2.7418827529682678e+17,8.633978978750131e+16,0.31489234794607035,1.0,309,10.3,0.014227642276422764,0.8,0.39593355331476865,1.0,0.266260162601626,0,0,0,0.11382113821138211,0.0,1.0,0.5487804878048781,0.0,0.0,0x000000003ce0cf2c037493b1dc087204bd7f713e,0.29904510336274115,1.0,0.5212549712770659,0.32853658536585373,1.0,1.0,0.0,635.8031800688307,Fair (Elevated Risk)
1,1,1,92647493827.74973,92647493827.74973,1,1.0,0.0,0,0,0.0,0.0,92647493827.74973,0.0,0.0,1.0,1,1.0,1.0,0.2,,0.14285714285714285,1.0,0,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0x000000007858e6f2668e1e06111cfa24403a5466,0.3,1.0,0.08164383561643837,0.6799999999999999,1.0,1.0,0.0,605.2465753424657,Fair (Elevated Risk)
1,1,1,1.797442,1.797442,1,1.0,0.0,0,0,0.0,0.0,1.797442,0.0,0.0,1.0,1,1.0,1.0,0.2,,0.14285714285714285,0.0,0,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0x00000001a0f57e850c9db68b4a9bc34677437c5c,0.3,1.0,0.08164383561643837,0.6799999999999999,1.0,1.0,0.0,605.2465753424657,Fair (Elevated Risk)
69,1,4,2.7994299523357184e+18,4.057144858457563e+16,31,2.225806451612903,1.0020595180240393,24,9,0.698773772596717,0.450826354837963,8.005480506185253e+17,5.979480506185252e+17,0.7469233735021079,1.0,26,1.0833333333333333,0.014492753623188406,0.8,0.7146613680435034,0.42857142857142855,0.0,0,0,0,0.7246376811594203,0.0,1.0,0.9420289855072463,0.0,0.0,0x0000000506063a51c6ce59906d8c40f7d7fe92a7,0.9051238682306355,1.0,0.2290234202386213,0.3286956521739131,1.0,1.0,0.0,743.5040453108434,Good (Moderate Risk)
47,4,4,7.816530438936761e+18,1.6630915827525024e+17,3,15.666666666666666,1.0001571933931537,12,12,0.2477587434185664,0.045750301921296296,2.7034675765792676e+18,1.204488620972924e+18,0.44553470195376965,1.0,12,1.0,0.0851063829787234,0.8,0.7938871026178544,0.2857142857142857,0.0,0,0,0,1.0,0.0,1.0,0.46808510638297873,0.0,0.0,0x00000029ff545c86524ade7caf132527707948c4,0.7738701200063569,1.0,0.4049315068493151,0.3710638297872341,1.0,1.0,0.0,741.3136390077099,Good (Moderate Risk)
250,8,4,4.218291098495467e+16,168731643939818.7,101,2.4752475247524752,0.05618565909036595,62,45,0.0,0.403643695150463,2.000200538589319e+16,2.1000000001237224e+16,1.049894727858032,0.0,86,1.3870967741935485,0.032,0.8,0.5313080617544719,0.8571428571428571,0.204,0,0,0,0.156,0.0,1.0,0.308,0.0,0.0,0x00000087c4cebffb95746d1935de7fbcab092f40,0.3184378266846417,0.0,0.364047199240472,0.33920000000000006,1.0,1.0,0.0,418.13653655723124,Very Poor (Very High Risk)
297,7,4,8.503793099391044e+18,2.863229999794964e+16,138,2.152173913043478,0.7018996328692699,66,63,0.0,0.4635338072337963,2.3300892609316024e+18,2.5277735257846426e+18,1.0848397819635474,0.0,107,1.621212121212121,0.02356902356902357,0.8,0.5351730693698189,1.0,0.265993265993266,0,0,0,0.003367003367003367,0.0,1.0,0.6464646464646465,0.0,0.0,0x000000e28faa823d5b53ff6c2922c28335840375,0.57612451507537,0.0,0.39902322811197144,0.3341414141414142,1.0,1.0,0.0,487.2987543997797,Very Poor (Very High Risk)
25,6,4,1.3500458186664928e+17,5400183274665971.0,42,0.5952380952380952,1.0000016628929167,4,1,0.0,1.720600887337963,3.8762879274412104e+16,2.310000000000175e+16,0.5959309636539402,1.0,11,2.75,0.24,0.8,0.20852341463238133,1.0,0.08,0,0,0,0.56,0.0,1.0,0.64,0.0,0.0,0x000006eee6e39015cb523aebdd4d0b1855aba682,0.6827939911266203,1.0,0.11666014350945857,0.4640000000000001,1.0,1.0,0.0,684.5975193080739,Fair (Elevated Risk)
1,1,1,1.690049,1.690049,1,1.0,0.0,0,0,0.0,0.0,1.690049,0.0,0.0,1.0,1,1.0,1.0,0.2,,0.14285714285714285,1.0,0,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0x00000a9c78912badb92d73b6ed26456e11def5eb,0.3,1.0,0.08164383561643837,0.6799999999999999,1.0,1.0,0.0,605.2465753424657,Fair (Elevated Risk)
4,2,1,53394.118307,13348.52957675,48,0.08333333333333333,0.0,0,0,1.0,15.668097993819444,0.0,0.0,0.0,1.0,0,0.0,0.5,0.2,0.75,0.5714285714285714,0.0,0,0,0,0.5,0.0,0.004941665276506105,0.0,0.0,0.0,0x00001bc47f0973f794f79c16121cee879e272d6a,0.44331902006180557,1.0,0.08557077625570775,0.38,1.0,1.0,0.4098833305530122,632.1595379814582,Fair (Elevated Risk)
147,7,4,1.0169365702567608e+18,6917935852086808.0,126,1.1666666666666667,0.7247732560713147,47,45,0.0,0.8583667078819444,875384669808016.5,5.88795000001783e+17,672.6128755840716,0.0,27,0.574468085106383,0.047619047619047616,0.8,0.5764194593347576,1.0,0.22448979591836735,0,0,0,0.06802721088435375,0.0,1.0,0.6462585034013606,0.0,0.0,0x00002b503a75998c97508916a74fdb41934fa030,0.5813256353497065,0.0,0.3004566210045662,0.34857142857142864,1.0,1.0,0.0,475.2570448452544,Very Poor (Very High Risk)
2,1,2,289437121399.77435,144718560699.88718,4,0.5,0.0,0,0,1.0,3.5146064814814815,144717571777.70856,0.0,0.0,1.0,1,1.0,0.5,0.4,0.35181878391233146,0.2857142857142857,0.0,0,0,0,1.0,0.0,9.663910077404278e-06,0.0,0.0,0.0,0x0000897253cc85f7547317eb2080b36b3255687a,0.5648539351851851,1.0,0.046575342465753435,0.46,1.0,1.0,0.4000193278201548,664.2007515571671,Fair (Elevated Risk)
1,1,1,1.109908,1.109908,1,1.0,0.0,0,0,0.0,0.0,1.109908,0.0,0.0,1.0,1,1.0,1.0,0.2,,0.14285714285714285,1.0,0,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0x0000b252c943089fbba5554a1d196ef79bc77e4f,0.3,1.0,0.08164383561643837,0.6799999999999999,1.0,1.0,0.0,605.2465753424657,Fair (Elevated Risk)
14,4,3,2908555443489375.5,207753960249241.1,76,0.18421052631578946,0.0,1,0,0.40851523484941066,5.829225427349537,2500000001947.075,1417093320061629.8,566.837327583182,0.0,3,3.0,0.2857142857142857,0.6,0.7584612565426313,0.7142857142857143,0.35714285714285715,0,0,0,0.21428571428571427,0.0,1.0,0.21428571428571427,0.0,0.0,0x0000ce08fa224696a819877070bf378e8b131acf,0.3642623161813278,0.0,0.13966834895457822,0.41142857142857137,1.0,1.0,0.0,403.15868853137584,Very Poor (Very High Risk)
29,6,4,820224148175395.2,28283591316392.94,80,0.3625,1.0013698287706232,6,7,0.4304600600810322,2.8398524305555557,198390169724900.4,300000000000830.6,1.5121716989144596,0.0,9,1.5,0.20689655172413793,0.8,0.5830255652253842,0.7142857142857143,0.1724137931034483,0,0,0,0.20689655172413793,0.0,1.0,0.3103448275862069,0.0,0.0,0x00010a708585ba4812a1c5976182626c75cb7a6b,0.8007394937187542,0.0,0.16050684931506848,0.44413793103448285,1.0,1.0,0.0,518.6746939303971,Poor (High Risk)
2,1,1,12652993450.826145,6326496725.413073,2,1.0,0.0,0,0,1.0,1.6416782407407406,12652993450.826145,0.0,0.0,1.0,2,2.0,0.5,0.2,0.4696699141100894,0.2857142857142857,0.5,0,0,0,1.0,0.0,0.0035827359819540472,0.0,0.0,0.0,0x00016fc0c9f7620e920e1423fd455f9574f48025,0.5835832175925926,1.0,0.08328767123287673,0.38,1.0,1.0,0.40716547196390807,666.7472286812751,Fair (Elevated Risk)
1,1,1,1008031423844.5638,1008031423844.5638,1,1.0,0.0,0,0,0.0,0.0,1008031423844.5638,0.0,0.0,1.0,1,1.0,1.0,0.2,,0.14285714285714285,1.0,0,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0x0002761e848b24046a53d494847b11a3e1d36b09,0.3,1.0,0.08164383561643837,0.6799999999999999,1.0,1.0,0.0,605.2465753424657,Fair (Elevated Risk)
2,1,1,1.0104389999999999,0.5052194999999999,8,0.25,0.0,0,0,1.0,7.143796296296296,1.0104389999999999,0.0,0.0,1.0,2,2.0,0.5,0.2,0.7642977396044841,0.14285714285714285,0.0,0,0,0,1.0,0.0,0.7143496759462412,0.0,0.0,0.0,0x00027e45436f11ec8549b7d5e0b86748ee61c13d,0.528562037037037,1.0,0.03315068493150685,0.38,1.0,1.0,0.17130064810751755,633.6781444043612,Fair (Elevated Risk)
4,2,4,1.00026e+16,2500650000000000.0,1,4.0,1.0,1,1,0.0,0.000570987650462963,5000000000000000.0,1300000000000.0,0.00026,1.0,1,1.0,0.5,0.8,1.0,0.14285714285714285,0.0,0,0,0,1.0,0.0,1.0,1.0,0.34087846495907026,0.0,0x0003816b25fd3d6c112eb65c089760fa3f791947,0.6999942901234953,1.0,0.32164383561643844,0.6200000000000001,1.0,1.0,0.0,735.2451478733396,Good (Moderate Risk)
37,6,3,535690890172878.3,14478132166834.549,101,0.36633663366336633,0.0,5,0,0.4658989545037382,2.8012098122337963,18200000002238.805,915.9680860000001,5.032791680699592e-11,1.0,12,2.4,0.16216216216216217,0.6,0.6209277389303647,1.0,0.08108108108108109,0,0,0,0.08108108108108109,0.0,1.0,0.4864864864864865,0.0,0.0,0x0003bbb966655dc0fbbb380797b07fc547e9ddc5,0.4117575882287835,1.0,0.19533432795334327,0.3372972972972973,1.0,1.0,0.0,615.969275979927,Fair (Elevated Risk)
2,1,2,2100.051359,1050.0256795,1,2.0,0.0,0,0,0.0,0.0009722222222222222,1050.025562,0.0,0.0,1.0,1,1.0,0.5,0.4,1.0,0.14285714285714285,0.0,0,0,0,1.0,0.0,1.5825336161337488e-07,0.0,0.0,0.0,0x0003d4fb942d0cad7fa1b658ad6d46ef6c15f11b,0.29999027777777776,1.0,0.16164383561643839,0.46,1.0,1.0,0.4000003165067233,615.2441606122463,Fair (Elevated Risk)
24,2,4,6702.512638,279.27135991666665,83,0.2891566265060241,0.7179059197943445,6,5,0.4522774424948339,3.602017411423611,2034.568202,1945.0,0.9559768004277499,0.2201159978612507,8,1.3333333333333333,0.08333333333333333,0.8,0.4328504472920075,0.5714285714285714,0.25,0,0,0,0.4583333333333333,0.0,0.8464037434580733,0.7083333333333334,0.0,0.0,0x0003f46779806fe779e7f30eec95dbdb4d45840b,0.6868254265519518,0.2201159978612507,0.1595708862848655,0.37000000000000005,1.0,1.0,0.0,526.6651891529679,Poor (High Risk)
10,2,4,3230.306083,323.0306083,83,0.12048192771084337,1.009735458452574,3,1,0.27336391501660207,9.114245113159722,999.09,507.497107,0.5079593500085078,1.0,2,0.6666666666666666,0.2,0.8,0.8808466078359599,0.5714285714285714,0.0,0,0,0,0.5,0.0,0.8579097142090675,0.5,0.0,0.0,0x0004849537dab5c33fc8c494d05313dfbe2d99f3,0.6908667233733834,1.0,0.14607691038125103,0.44000000000000006,1.0,1.0,0.0,688.6282174005335,Fair (Elevated Risk)
2,2,2,845893155781.2314,422946577890.6157,1,2.0,0.0,1,0,0.0,0.0024189814814814816,845893155281.2314,500.0,5.910911997316807e-10,1.0,1,1.0,1.0,0.4,0.9410744349011211,0.14285714285714285,0.0,0,0,0,1.0,0.0,1.0,0.5,0.0,0.0,0x0004a89403e17f544bfbd25ecb1a7d9215a1d61b,0.29997581018518515,1.0,0.16164383561643839,0.76,1.0,1.0,0.0,625.240527888762,Fair (Elevated Risk)
6,1,4,81999990000000.0,13666665000000.0,1,6.0,1.0,1,1,0.0,0.0008703703703703704,25000000000000.0,16000000000000.0,0.64,1.0,2,2.0,0.16666666666666666,0.8,1.0,0.14285714285714285,1.0,0,0,0,1.0,0.0,0.2644966448252399,1.0,0.0,0.0,0x0004d4112ee696dabc22b221bef156ecdaeb1a59,0.6999912962962963,1.0,0.4016438356164384,0.42000000000000004,1.0,1.0,0.9289932896504798,773.6940638990638,Good (Moderate Risk)
7,4,4,103156179929371.98,14736597132767.426,1,7.0,1.0000837926606687,1,1,0.3939084732686736,0.10716435185185186,293501410000.0,592.247574,2.0178696041017315e-09,1.0,1,1.0,0.5714285714285714,0.8,0.6078650216190331,0.2857142857142857,0.0,0,0,0,1.0,0.0,1.0,0.14285714285714285,0.0,0.0,0x0005696d4be2359526c497fe4a4c0620b41f2426,0.8171008984620836,1.0,0.4016438356164384,0.6628571428571428,1.0,1.0,0.0,780.807514243701,Good (Moderate Risk)
